name,cluster_id
Coffee,958
Tea,7046
Celery,1696
Olives,6825
Radishes,2243
Mashed potatoes,1721
Milk,779
Boiled potatoes,7405
Fruit,811
Chicken salad,981
Vanilla ice cream,1036
Cocoa,8589
Lettuce Salad,9642
Apple Pie,311
Cheese,412
String Beans,3089
Chocolate,3955
Lobster salad,9468
Sardines,8928
Oranges,1821
Apollinaris,6425
Roquefort,9317
French fried potatoes,8960
AMERICAN CHEESE,7784
GREEN PEAS,7288
Stewed prunes,8305
Assorted cakes,7958
Chocolate Ice Cream,8824
Ham,1143
Potato salad,9010
Roast beef,9129
Camembert,2586
Baked Potatoes,3200
Sliced Tomatoes,440
Stewed tomatoes,9289
Apples,3617
Lima beans,6939
Bananas,6185
Demi Tasse,7672
ROQUEFORT CHEESE,2158
Ice cream,828
Tomato Juice,1841
Cigars,8572
Cucumbers,1598
Little Neck clams,9294
Swiss cheese,7169
Cream Cheese,576
Edam Cheese,6086
Spinach,5627
Crackers,9560
Consomme,2512
Lettuce,5839
Orange,399
Cup Custard,8262
Grapes,5795
Lobster Cocktail,4679
ASSORTED CAKE,2457
Cauliflower,1341
Tomato Salad,8797
Sirloin Steak,677
Buttermilk,5505
Raisins,386
Biscuit Tortoni,6752
Iced tea,8047
Succotash,2353
Petits fours,8653
Charlotte Russe,2280
BLUE POINTS,517
Ripe Olives,5434
CAFE,5994
Demi-tasse,7244
Corned beef,304
French peas,8568
Kaffee,7981
Fruits,1492
Boiled rice,1833
Apple Sauce,7764
Brussels Sprouts,558
Dessert,1361
Chicken,1958
Bread and Butter,9675
Cucumber salad,4605
Watermelon,8161
SALTED ALMONDS,4101
Romaine Salad,8699
Benedictine,5955
Cigarettes,281
Shrimp Cocktail,964
Baked Apple,6345
Marmalade,1640
Grape fruit,6989
Lyonnaise Potatoes,9222
Dry Toast,9132
Tongue,237
CAMEMBERT CHEESE,805
Assorted Cakes,1242
Fried Egg Plant,2054
Queen olives,9293
Little Necks,6225
Peach Melba,347
Half Grapefruit,8259
Milk toast,4737
Chow chow,5192
rice pudding,8483
Lettuce and Tomato Salad,1033
Corned Beef Hash,9155
Cold roast beef,846
STRAWBERRY ICE CREAM,4379
Brie,8419
Macaroons,956
French Pastry,7383
Club sandwich,8067
Coffee Ice Cream,6254
Pears,7031
Cafe Parfait,9125
Fruit salad,2161
Chicken Sandwich,7581
Orange Juice,1999
Smoked Salmon,219
Ham Sandwich,516
Mutton Chops,7548
Broiled Ham,5697
Cantaloupe,7270
Sweet Pickles,2567
Pear,7031
Lamb Chops,1635
Turkish Coffee,4060
Escarole Salad,9529
Mince Pie,8557
Stewed Corn,1519
Oatmeal,7583
Creme de Menthe,9314
Tenderloin Steak,1436
Roman Punch,1432
Welsh rarebit,8360
Ham and eggs,9014
Iced coffee,1352
Cold Ham,7468
Shrimp Salad,1910
Asparagus,1369
Cafe noir,6060
Scrambled Eggs,6473
Sauterne,7761
Grapefruit,627
Baked Apple with Cream,9591
Fried Potatoes,8854
Pumpkin Pie,3050
Chicory Salad,8737
Fried Eggs,172
Gorgonzola,6981
White Rock,6807
Peach Pie,8297
Boiled eggs,2476
Salad,2591
Crab Flake Cocktail,1900
Artichoke,31
Edam,1654
Caviar,383
Clam Chowder,7407
Maraschino,7096
Buttered toast,9031
Cherrystones,2618
Vanilla Ice Cream,5929
Nuts,3095
French Coffee,4597
Green olives,1194
Blue Point Oysters,121
Hominy,5593
Neapolitan ice cream,7201
Stewed Prunes,8305
Plums,1870
Green Peas,3213
Bacon and eggs,1000
Figs,9439
Cape Cods,5966
Oyster cocktail,109
Toast,1145
Rolls,2230
Nesselrode Pudding,4469
Cream toast,1410
Beets,6327
New string beans,9244
Postum,686
Neufchatel,7768
Sweet Potatoes,8673
Ginger Ale,2340
Gruyere,1310
Cocktail Sauce,4865
Anchovies,579
Tongue Sandwich,1161
COMBINATION SALAD,7645
Orange marmalade,8056
New Lima Beans,9508
Pickles,8770
Grapefruit Juice,8126
Lemonade,743
Stuffed olives,1148
Beluga Caviar,1442
Tomatoes,8781
SLICED CUCUMBERS,1526
Oyster Stew,8857
Gherkins,4789
Liederkranz Cheese,745
Turkey,644
Orange Water Ice,855
Fruit Cocktail,2581
Saratoga Chips,9385
Cherrystone Clams,790
Little Neck Clams,1611
Chicken Salad,8587
Lamb,4306
Cold Slaw,647
New peas,6285
Pound cake,7396
Gorgonzola Cheese,9582
Tomato,9655
Pork Chops,9075
Liqueurs,8085
Creamed Spinach,8512
Celery Salad,6822
Lemon water ice,6979
fried Sweet Potatoes,8570
Waldorf Salad,1015
Stewed Tomatoes,8452
Lynnhavens,7029
Squab Chicken,7343
Almonds,7358
Salted Nuts,2647
Sherry,2136
Tomato Juice Cocktail,3162
Golden buck,1158
Chicken broth,8899
Pickled beets,7329
Hot Rolls,8106
Pontet Canet,989
Roquefort Cheese,6174
Saute Potatoes,9386
Cream,1020
St. Julien,8912
Meringue glacee,8542
Russian Dressing,8435
Small Steak,6079
French Peas,8568
Green Apple Pie,3542
Clam Juice Cocktail,1091
Chiffonade Salad,8140
Cakes,587
PORT,2675
CLAM BROTH,7382
Mashed Turnips,8994
Brie cheese,2370
Anisette,1317
Sardine Sandwich,3199
Virginia Ham,5728
Cold Corned Beef,6619
Calf's Liver and Bacon,297
Pineapple Juice,8209
FRENCH DRESSING,7849
FRESH FRUIT,6409
Lobster Salad,9468
Cottage Cheese,762
Cake,587
Candied Sweet Potatoes,1314
Watercress Salad,3214
Watercress,5231
Niersteiner,5559
Hamburger Steak,8474
Cucumber,3130
Strawberries and Cream,7628
Raspberry Water Ice,8564
Mixed Grill,7542
Stuffed celery,1596
Plain Omelette,868
Roast chicken,2979
Amontillado,9666
Malaga grapes,2056
Apple,8508
Clam juice,6399
Tomato Soup,5554
Poached Eggs on Toast,9482
