id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,cluster_id
96,Coffee,,7740,8484,1,2928,0.0,30.0,958
97,Tea,,4159,4769,1858,2012,0.0,25.0,7046
15,Celery,,4246,4690,1,2928,0.0,50.0,1696
1177,Olives,,4319,4553,1858,1980,0.0,35.0,6825
7,Radishes,,3262,3346,1854,2928,0.0,25.0,2243
83,Mashed potatoes,,2583,2670,1852,2012,0.0,15.0,1721
98,Milk,,1894,2290,1890,2012,0.0,45.0,779
219,Boiled potatoes,,2074,2129,1858,1974,0.0,20.0,7405
112,Fruit,,1919,2006,1854,2928,0.0,40.0,811
217,Chicken salad,,1809,1879,1858,1987,0.0,100.0,981
4118,Vanilla ice cream,,1713,1853,1859,2012,0.0,30.0,1036
283,Cocoa,,1636,1704,1865,1987,0.0,25.0,8589
1049,Lettuce Salad,,1566,1680,1881,1974,0.0,40.0,9642
2474,Apple Pie,,1487,1618,1851,1987,0.0,25.0,311
795,Cheese,,1558,1595,1,1990,0.0,40.0,412
873,String Beans,,1488,1570,1858,2928,0.0,60.0,3089
231,Chocolate,,1489,1568,1858,1987,0.0,30.0,3955
215,Lobster salad,,1511,1566,1858,1995,0.0,100.0,9468
18,Sardines,,1425,1484,1856,2928,0.0,50.0,8928
67,Oranges,,1423,1479,1851,2012,0.0,25.0,1821
776,Apollinaris,,1366,1474,1,1988,0.0,40.25,6425
1308,Roquefort,,1273,1447,1882,1985,0.0,30.0,9317
1259,French fried potatoes,,1328,1409,1884,1987,0.0,25.0,8960
1289,AMERICAN CHEESE,,1372,1398,1865,2012,0.0,25.0,7784
408,GREEN PEAS,,1341,1378,1858,1985,0.0,75.0,7288
111,Stewed prunes,,1268,1372,1881,1987,0.0,20.0,8305
211,Assorted cakes,,1331,1355,1880,2012,0.0,30.0,7958
4764,Chocolate Ice Cream,,1215,1341,1873,1989,0.0,25.0,8824
1099,Ham,,1249,1336,1851,2928,0.0,95.0,1143
216,Potato salad,,1306,1336,1881,1987,0.0,25.0,9010
232,Roast beef,,1223,1333,1851,1987,0.0,75.0,9129
1313,Camembert,,1160,1328,1881,2012,0.0,30.0,2586
920,Baked Potatoes,,1293,1326,1859,2012,0.0,20.0,3200
33,Sliced Tomatoes,,1195,1256,1873,2928,0.0,25.0,440
117,Stewed tomatoes,,1204,1252,1852,1985,0.0,25.0,9289
115,Apples,,1215,1239,1851,2012,0.05,25.0,3617
1583,Lima beans,,1156,1214,1865,1980,0.0,60.0,6939
108,Bananas,,1195,1213,1,2012,0.0,25.0,6185
3983,Demi Tasse,,985,1198,1889,2012,0.0,20.0,7672
1287,ROQUEFORT CHEESE,,1130,1183,1881,1985,0.0,30.0,2158
95,Ice cream,,1058,1177,1880,1993,0.0,20.0,828
133341,Tomato Juice,,976,1168,1919,1998,0.0,30.0,1841
7857,Cigars,,1109,1114,1885,1969,0.0,12.0,8572
1763,Cucumbers,,1073,1083,1854,1955,0.1,40.0,1598
150,Little Neck clams,,997,1075,1882,1989,0.0,50.0,9294
2407,Swiss cheese,,1008,1072,1882,1988,0.0,95.0,7169
471,Cream Cheese,,972,1057,1887,1980,0.0,25.0,576
5605,Edam Cheese,,1021,1055,1883,1974,0.0,35.0,6086
1601,Spinach,,972,1020,1854,1987,0.0,40.0,5627
230,Crackers,,966,986,1854,1987,0.0,10.0,9560
1186,Consomme,,831,985,1865,1976,0.0,35.0,2512
572,Lettuce,,922,975,1859,1988,0.0,35.0,5839
575,Orange,,862,972,1,1975,0.0,25.0,399
569,Cup Custard,,885,953,1854,2928,0.0,25.0,8262
113,Grapes,,887,950,1856,1969,0.0,125.0,5795
4646,Lobster Cocktail,,830,949,1906,1985,0.0,70.0,4679
1283,ASSORTED CAKE,,939,944,1858,1971,0.0,20.0,2457
872,Cauliflower,,886,942,1865,1987,0.0,70.0,1341
5073,Tomato Salad,,842,935,1887,1974,0.0,40.0,8797
247,Sirloin Steak,,912,929,1,1987,0.0,235.0,677
1220,Buttermilk,,851,921,1883,1989,0.0,10.0,5505
4434,Raisins,,907,915,1851,1969,0.0,125.0,386
3937,Biscuit Tortoni,,843,913,1883,2928,0.0,40.0,6752
1304,Iced tea,,832,911,1894,1989,0.0,30.0,8047
1591,Succotash,,830,906,1880,1973,0.0,25.0,2353
3436,Petits fours,,864,905,1881,1997,0.0,30.0,8653
163,Charlotte Russe,,822,898,1851,1973,0.0,30.0,2280
43,BLUE POINTS,,868,891,1881,1968,0.15,50.0,517
10861,Ripe Olives,,861,886,1899,2928,0.0,0.75,5434
2450,CAFE,,860,885,1866,2012,0.0,30.0,5994
174,Demi-tasse,,851,878,1892,1979,0.0,15.0,7244
233,Corned beef,,820,878,1862,1985,0.0,50.0,304
1585,French peas,,857,874,1882,1981,0.0,40.0,8568
808,Kaffee,,829,868,1888,2005,0.0,0.0,7981
1215,Fruits,,840,862,1864,1978,0.0,10.0,1492
91,Boiled rice,,830,839,1859,1969,0.0,25.0,1833
38,Apple Sauce,,721,829,1,1987,0.0,20.0,7764
3860,Brussels Sprouts,,734,828,1881,2928,0.0,60.0,558
1052,Dessert,,773,819,1864,2928,0.0,40.0,1361
237,Chicken,,678,818,1866,1985,0.0,125.0,1958
2402,Bread and Butter,,698,816,1889,1971,0.0,25.0,9675
8468,Cucumber salad,,794,815,1882,1987,0.0,75.0,4605
3534,Watermelon,,674,792,1881,2012,0.0,35.0,8161
48,SALTED ALMONDS,,773,782,1889,2012,0.0,10.0,4101
3508,Romaine Salad,,731,781,1,1977,0.0,75.0,8699
1376,Benedictine,,752,765,1881,1985,0.0,20.0,5955
9089,Cigarettes,,752,758,1884,1987,0.0,1.0,281
132722,Shrimp Cocktail,,637,754,1916,1998,0.0,70.0,964
7098,Baked Apple,,629,751,1,1987,0.0,25.0,6345
281,Marmalade,,718,751,1888,1973,0.0,25.0,1640
66,Grape fruit,,715,749,1895,1968,0.0,2540.0,6989
293,Lyonnaise Potatoes,,728,746,1,1989,0.0,30.0,9222
315,Dry Toast,,719,743,1856,1981,0.0,10.0,9132
222,Tongue,,692,733,1851,1965,0.0,95.0,237
2531,CAMEMBERT CHEESE,,689,732,1889,1981,0.0,30.0,805
373910,Assorted Cakes,,601,727,1882,2928,0.0,25.0,1242
1846,Fried Egg Plant,,662,708,1852,2928,0.0,30.0,2054
199,Queen olives,,689,706,1865,1965,0.0,15.0,9293
1878,Little Necks,,676,705,1895,2928,0.0,40.0,6225
6270,Peach Melba,,590,692,1906,2928,0.0,40.0,347
133377,Half Grapefruit,,506,691,1914,1987,0.0,90.0,8259
907,Milk toast,,675,690,1856,1965,0.0,30.0,4737
200,Chow chow,,676,687,1865,1965,0.0,20.0,5192
5644,rice pudding,,543,683,1865,1987,0.0,20.0,8483
5345,Lettuce and Tomato Salad,,656,678,1891,1985,0.0,35.0,1033
370,Corned Beef Hash,,616,675,1,1959,0.1,25.0,9155
6512,Cold roast beef,,669,671,1851,1985,0.0,75.0,846
5917,STRAWBERRY ICE CREAM,,610,669,1880,1989,0.0,30.0,4379
1310,Brie,,608,667,1882,1999,0.0,30.0,8419
2285,Macaroons,,654,666,1851,2928,0.0,25.0,956
20877,French Pastry,,604,659,1892,1985,0.0,20.0,7383
169,Club sandwich,,639,657,1896,2928,0.0,40.0,8067
11913,Coffee Ice Cream,,596,652,1881,1987,0.0,30.0,6254
54,Pears,,631,650,1852,1974,0.0,50.0,7031
2287,Cafe Parfait,,517,647,1887,1979,0.0,35.0,9125
1406,Fruit salad,,585,646,1898,1988,0.0,4.95,2161
1969,Chicken Sandwich,,632,639,1882,1985,0.0,30.0,7581
10250,Orange Juice,,554,637,1,1990,0.0,20.0,1999
1653,Smoked Salmon,,590,637,1,1993,0.0,50.0,219
1967,Ham Sandwich,,626,637,1882,1987,0.0,20.0,516
667,Mutton Chops,,626,637,1851,1958,0.0,60.0,7548
239,Broiled Ham,,622,635,1,1970,0.0,25.0,5697
2503,Cantaloupe,,507,635,1891,1983,0.0,25.0,7270
1064,Sweet Pickles,,597,628,1890,1965,0.0,20.0,2567
10301,Pear,,543,626,1,1968,0.0,25.0,7031
691,Lamb Chops,,614,624,1,1988,0.0,75.0,1635
1205,Turkish Coffee,,495,623,1895,1971,0.0,25.0,4060
18064,Escarole Salad,,542,623,1891,1973,0.15,40.0,9529
2433,Mince Pie,,596,616,1851,1961,0.05,20.0,8557
1743,Stewed Corn,,592,614,1889,1958,0.0,25.0,1519
155,Oatmeal,,532,610,1,1988,0.0,20.0,7583
1392,Creme de Menthe,,598,610,1890,1987,0.0,15.0,9314
246,Tenderloin Steak,,588,610,1858,1980,0.15,80.0,1436
2575,Roman Punch,,595,608,1856,1965,0.0,40.0,1432
1514,Welsh rarebit,,592,608,1882,1980,0.0,40.0,8360
1506,Ham and eggs,,574,603,1858,1987,0.0,30.0,9014
1303,Iced coffee,,549,602,1894,1988,0.0,25.0,1352
568,Cold Ham,,592,598,1854,1972,0.0,45.0,7468
5057,Shrimp Salad,,577,598,1881,1987,0.0,90.0,1910
2978,Asparagus,,578,596,1854,1985,0.0,35.0,1369
4246,Cafe noir,,591,591,1883,1967,0.0,0.15,6060
